Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urban_share_2010;urban_share_2020;urban_share_2030;urban_share_2040;urban_share_2050;urban_share_2060;urban_share_2070;urban_share_2080;urban_share_2090;urban_share_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100;urbangrowthrate2020;urbangrowthrate2030;urbangrowthrate2040;urbangrowthrate2050;urbangrowthrate2060;urbangrowthrate2070;urbangrowthrate2080;urbangrowthrate2090;urbangrowthrate2100;Values
QAT;Qatar;SSP3_QAT;1.759;2.45;2.79;3.09;3.329;3.486;3.577;3.651;3.734;3.778;95.831;96.546;97.143;97.639;98.05;98.391;98.673;98.907;99.099;99.258;1.68566729;2.365377;2.7102897;3.0170451;3.2640845;3.42991026;3.52953321;3.61109457;3.70035666;3.74996724;1.40322887;1.14581722;1.11318178;1.08188124;1.05080315;1.02904535;1.02310826;1.02471885;1.01340697;QAT
REU;Reunion;SSP3_REU;0.846;0.951;1.06;1.166;1.271;1.38;1.499;1.629;1.773;1.932;94.014;97.562;98.324;98.678;98.883;99.017;99.111;99.18;99.233;99.274;0.79535844;0.92781462;1.0422344;1.15058548;1.25680293;1.3664346;1.48567389;1.6156422;1.75940109;1.91797368;1.16653646;1.12332181;1.10396038;1.092316;1.0872306;1.08726308;1.08748105;1.08897941;1.09012873;REU
ROU;Romania;SSP3_ROU;21.486;20.956;20.381;19.655;18.875;17.963;17.087;16.588;16.459;16.519;57.467;59.483;61.234;62.755;64.08;65.236;66.247;67.135;67.915;68.602;12.3473596;12.4652575;12.4801015;12.3344953;12.0951;11.7183427;11.3196249;11.1363538;11.1781298;11.3323644;1.00954843;1.00119083;0.988332924;0.980591403;0.968850417;0.965974899;0.983809438;1.00375132;1.01379788;ROU
RUS;Russia;SSP3_RUS;142.958;141.783;138.271;135.257;134.315;134.629;136.352;140.019;144.524;149.032;73.167;74.478;75.66;76.728;77.697;78.577;79.38;80.114;80.787;81.406;104.59808;105.597143;104.615839;103.779991;104.358726;105.787429;108.236218;112.174822;116.756604;121.32099;1.00955145;0.990707096;0.992010315;1.00557655;1.01369031;1.0231482;1.03638897;1.04084501;1.03909317;RUS
RWA;Rwanda;SSP3_RWA;10.624;14.042;17.769;21.877;26.177;30.18;34.02;37.648;40.864;43.676;18.854;21.269;23.654;25.957;28.137;30.167;32.03;33.72;35.238;36.591;2.00304896;2.98659298;4.20307926;5.67861289;7.36542249;9.1044006;10.896606;12.6949056;14.3996563;15.9814852;1.49102345;1.40731572;1.35106015;1.29704606;1.23610025;1.19685045;1.165033;1.13428621;1.10985185;RWA
SAU;Saudi Arabia;SSP3_SAU;27.448;34.708;41.845;49.058;56.289;63.311;70.037;76.672;82.877;88.239;82.074;84.851;87.264;89.339;91.111;92.611;93.876;94.935;95.819;96.555;22.5276715;29.4500851;36.5156208;43.8279266;51.2854708;58.6329502;65.7479341;72.7885632;79.4119126;85.1991665;1.30728491;1.23991563;1.20025144;1.17015508;1.1432663;1.12134787;1.10708518;1.09099437;1.07287639;SAU
SDN;Sudan;SSP3_SDN;43.552;55.035;67.895;80.512;92.649;103.886;113.816;122.673;130.426;136.96;40.104;40.704;41.342;42.022;42.745;43.514;44.333;45.205;46.132;47.119;17.4660941;22.4014464;28.0691509;33.8327526;39.602815;45.204954;50.4580473;55.4543296;60.1681223;64.5341824;1.2825676;1.25300619;1.20533581;1.17054664;1.1414581;1.11620614;1.09901854;1.08500315;1.07256434;SDN
SEN;Senegal;SSP3_SEN;12.434;16.356;21.141;26.327;31.779;37.269;42.853;48.585;54.429;60.338;42.379;43.174;44.065;45.063;46.183;47.439;48.845;50.42;52.179;54.139;5.26940486;7.06153944;9.31578165;11.863736;14.6764956;17.6800409;20.9315479;24.496557;28.4005079;32.6663898;1.3401019;1.31922816;1.27350945;1.23708885;1.20465004;1.18390834;1.17031751;1.15936733;1.15020442;SEN
SGP;Singapore;SSP3_SGP;5.086;5.636;5.9;6.02;6.006;5.981;5.912;5.793;5.676;5.547;100;100;100;100;100;100;100;100;100;100;5.086;5.636;5.9;6.02;6.006;5.981;5.912;5.793;5.676;5.547;1.10813999;1.04684173;1.02033898;0.997674419;0.995837496;0.988463468;0.979871448;0.979803211;0.977272727;SGP
SLB;Solomon Islands;SSP3_SLB;0.538;0.678;0.828;0.978;1.12;1.253;1.375;1.483;1.579;1.668;18.551;19.228;19.97;20.785;21.685;22.681;23.786;25.017;26.393;27.937;0.09980438;0.13036584;0.1653516;0.2032773;0.242872;0.28419293;0.3270575;0.37100211;0.41674547;0.46598916;1.30621362;1.26836601;1.22936397;1.19478171;1.1701346;1.15082912;1.13436356;1.12329677;1.11816251;SLB
SLE;Sierra Leone;SSP3_SLE;5.868;7.37;8.947;10.491;11.932;13.222;14.296;15.153;15.828;16.354;38.395;39.87;41.332;42.779;44.208;45.616;47.001;48.36;49.694;50.998;2.2530186;2.938419;3.69797404;4.48794489;5.27489856;6.03134752;6.71926296;7.3279908;7.86556632;8.34021292;1.30421427;1.25849106;1.21362261;1.17534834;1.1434054;1.11405667;1.09059444;1.0733592;1.06034487;SLE
SLV;El Salvador;SSP3_SLV;6.193;6.676;7.293;7.839;8.347;8.78;9.17;9.556;9.979;10.487;64.305;67.344;69.138;70.229;70.907;71.333;71.604;71.777;71.888;71.959;3.98240865;4.49588544;5.04223434;5.50525131;5.91860729;6.2630374;6.5660868;6.85901012;7.17370352;7.54634033;1.12893624;1.12152198;1.09182774;1.07508394;1.05819445;1.04838697;1.04461155;1.04588029;1.05194483;SLV
