id,GL_newval,Uitleg_NVK,LHM_2_org,LHM_2_name_org,LHM_name_edit,LHM_name_edit_RP,Opmerking
181,182,zonnepaneel,27,,nodata,nodata,
182,183,Akkerrand,6,overige landbouwgewassen,overige_landbouwgewassen,natuurlijk_gras,RP: ik zou dit onder botanische graslanden en randen rekenen.
183,184,Natuurvriendelijke oever,17,natuurlijk gras,natuurlijk_gras,natuurlijk_gras,
184,185,Agr. N12.02 Kruiden- en faunarijk grasland,17,natuurlijk gras,natuurlijk_gras,natuurlijk_gras,"RP: Bij ID 184-194 missen een paar letter in de omschrijving (kolom C), maar zitten niet in HDB"
185,186,Agr. N10.02 Vochtig hooiland,23,onbemest grasland,natuurlijk_gras,natuurlijk_gras,
186,187,Agr. N12.02 Kruiden- en faunarijk grasland,23,onbemest grasland,natuurlijk_gras,natuurlijk_gras,
187,188,Agr. N12.03 Glanshaverhooiland,23,onbemest grasland,natuurlijk_gras,natuurlijk_gras,
188,189,Agr. N12.04 Zilt- en overstromingsgrasland,23,onbemest grasland,natuurlijk_gras,natuurlijk_gras,
189,190,Agr. N13.01 Vochtig weidevogelgrasland,23,onbemest grasland,natuurlijk_gras,natuurlijk_gras,
190,191,Agr. N12.03 Glanshaverhooiland,23,onbemest grasland,natuurlijk_gras,natuurlijk_gras,
191,192,Sted. N17.03 Park- en stinzenbos,11,loofbos,loofbos,loofbos,
192,193,Multi N14.01 Rivier- en beekbegeleidend bos,11,loofbos,loofbos,loofbos,
193,194,Multi N14.02 Hoog- en laagveenbos,11,loofbos,loofbos,loofbos,
194,195,Multi N14.03 Haagbeuken- en essenbos,11,loofbos,loofbos,loofbos,
