stations_code, stations_naam,,,   
gsb     ,Berlin-Gesundbrunnen           ,12032  ,12395  ,0
gv      ,Den Haag HS                    ,12032  ,12395  ,0
gvc     ,Den Haag Centraal              ,12032  ,12395  ,0
gvm     ,Den Haag Mariahoeve            ,12032  ,12395  ,0
gvmw    ,Den Haag Moerwijk              ,12032  ,12395  ,0
gw      ,Grou-Jirnsum                   ,12032  ,12395  ,0
gwd     ,Wildert                        ,12032  ,12395  ,0
gz      ,Gilze-Rijen                    ,12032  ,12395  ,0
had     ,Heemstede-Aerdenhout           ,12032  ,12395  ,0
hagen   ,Hagen Hbf                      ,12032  ,12395  ,0
halle   ,Halle (Saale) Hbf              ,12032  ,12395  ,0
hamh    ,Hamburg Hbf                    ,12032  ,12395  ,0
hamm    ,Hamm (Westf.)                  ,12032  ,12395  ,0
hann    ,Hannover Hbf                   ,12032  ,12395  ,0
hassel  ,Hasselt (oud)                  ,12032  ,9112  ,0
hb      ,Hoensbroek                     ,12032  ,12395  ,0
hbzm    ,Hardinxveld Blauwe Zoom        ,12032  ,12395  ,0
hd      ,Harderwijk                     ,12032  ,12395  ,0
hdb     ,Hardenberg                     ,12032  ,12395  ,0
hde     ,Harde ('t)                     ,12032  ,12395  ,0
hdg     ,Hurdegaryp                     ,12032  ,12395  ,0
hdr     ,Den Helder                     ,12032  ,12395  ,0
hdrh    ,Den Helder Haven               ,12032  ,12395  ,0
hdrz    ,Den Helder Zuid                ,12032  ,12395  ,0
hfd     ,Hoofddorp                      ,12032  ,12395  ,0
hgl     ,Hengelo                        ,12032  ,12395  ,0
hglg    ,Hengelo Gezondheidspark        ,12032  ,12395  ,0
hglo    ,Hengelo Oost                   ,12032  ,12395  ,0
hgv     ,Hoogeveen                      ,12032  ,12395  ,0
hgz     ,Hoogezand-Sappemeer            ,12032  ,12395  ,0
hil     ,Hillegom                       ,12032  ,12395  ,0
hk      ,Heemskerk                      ,12032  ,12395  ,0
hks     ,Hoogkarspel                    ,12032  ,12395  ,0
hlg     ,Harlingen                      ,12032  ,12395  ,0
hlgh    ,Harlingen Haven                ,12032  ,12395  ,0
hlm     ,Haarlem                        ,12032  ,12395  ,0
hlms    ,Haarlem Spaarnwoude            ,12032  ,12395  ,0
hlo     ,Heiloo                         ,12032  ,12395  ,0
hloov   ,Heiloo OV halte                ,12032  ,12395  ,0
hm      ,Helmond                        ,12032  ,12395  ,0
hmbh    ,Helmond Brouwhuis              ,12032  ,12395  ,0
hmbv    ,Helmond Brandevoort            ,12032  ,12395  ,0
hmh     ,Helmond 't Hout                ,12032  ,12395  ,0
hmn     ,Hemmen-Dodewaard               ,12032  ,12395  ,0
hn      ,Hoorn                          ,12032  ,12395  ,0
hnk     ,Hoorn Kersenboogerd            ,12032  ,12395  ,0
hno     ,Heino                          ,12032  ,12395  ,0
hnp     ,Hindeloopen                    ,12032  ,12395  ,0
hon     ,Holten                         ,12032  ,12395  ,0
hopf    ,Hopfgarten                     ,12032  ,12395  ,0
hor     ,Hollandsche Rading             ,12032  ,12395  ,0
hr      ,Heerenveen                     ,12032  ,12395  ,0
hrl     ,Heerlen                        ,12032  ,12395  ,0
hrlw    ,Heerlen Woonboulevard          ,12032  ,12395  ,0
hrn     ,Haren                          ,12032  ,12395  ,0
hrnt    ,Haren Transferium              ,12032  ,12395  ,0
hrt     ,Horst-Sevenum                  ,12032  ,12395  ,0
hry     ,Heerenveen IJsstadion          ,12032  ,12395  ,0
ht      ,Hertogenbosch ('s)             ,12032  ,12395  ,0
htn     ,Houten                         ,12032  ,12395  ,0
htnc    ,Houten Castellum               ,12032  ,12395  ,0
hto     ,Hertogenb ('s) Oost            ,12032  ,12395  ,0
hvl     ,Hoevelaken                     ,12032  ,12395  ,0
hvs     ,Hilversum                      ,12032  ,12395  ,0
hvsm    ,Hilversum Media Park           ,12032  ,12395  ,0
hvsp    ,Hilversum Sportpark            ,12032  ,12395  ,0
hwd     ,Heerhugowaard                  ,12032  ,12395  ,0
hwob    ,Wolfsburg Hbf                  ,12032  ,12395  ,0
hwzb    ,Halfweg-Zwanenburg             ,12032  ,12395  ,0
hz      ,Herzogenrath                   ,12032  ,12395  ,0
hze     ,Heeze                          ,12032  ,12395  ,0
ijt     ,IJlst                          ,12032  ,12395  ,0
innsb   ,Innsbruck Hbf                  ,12032  ,12395  ,0
jenbac  ,Jenbach                        ,12032  ,12395  ,0
karlsr  ,Karlsruhe Hbf                  ,12032  ,12395  ,0
kbd     ,Krabbendijke                   ,12032  ,12395  ,0
kbk     ,Klarenbeek                     ,12032  ,12395  ,0
kboi    ,Boisheim                       ,12032  ,12395  ,0
kbry    ,Breyell                        ,12032  ,12395  ,0
kdffh   ,Dusseldorf Flughafen           ,12032  ,12395  ,0
kdr     ,Duren                          ,12032  ,12395  ,0
kdul    ,Dulken                         ,12032  ,12395  ,0
kirchb  ,Kirchberg in Tirol             ,12032  ,12395  ,0
kitzb   ,Kitzbuhel                      ,12032  ,12395  ,0
kkd     ,Koln Messe/Deutz               ,12032  ,12395  ,0
kkdgl   ,Koeln-Deutz Gleis 11-12        ,12032  ,12395  ,0
kkerp   ,Koln-Ehrenfeld                 ,12032  ,12395  ,0
kko     ,Koblenz Hbf                    ,12032  ,12395  ,0
kkw     ,Koln West                      ,12032  ,12395  ,0
klp     ,Veenendaal-De Klomp            ,12032  ,12395  ,0
kma     ,Krommenie-Assendelft           ,12032  ,12395  ,0
kmb     ,Montabaur                      ,12032  ,12395  ,0
kmr     ,Klimmen-Ransdaal               ,12032  ,12395  ,0
kmw     ,Koudum-Molkwerum               ,12032  ,12395  ,0
kn      ,Kaldenkirchen                  ,12032  ,12395  ,0
koben   ,K›benhavn Hovedb.              ,12032  ,12395  ,0
kohl    ,Kohlscheid                     ,12032  ,12395  ,0
kold    ,Kolding                        ,12032  ,12395  ,0
koln    ,Koln Hbf                       ,12032  ,12395  ,0
konin   ,Konin                          ,12032  ,12395  ,0
kpn     ,Kampen                         ,12032  ,12395  ,0
kpnz    ,Kampen Zuid                    ,12032  ,12395  ,0
krd     ,Kerkrade Centrum               ,12032  ,12395  ,0
krg     ,Kruiningen-Yerseke             ,12032  ,12395  ,0
ksb     ,Siegburg                       ,12032  ,12395  ,0
kswe    ,Schwelm                        ,12032  ,12395  ,0
ktr     ,Kesteren                       ,12032  ,12395  ,0
kufst   ,Kufstein                       ,12032  ,12395  ,0
kutno   ,Kutno                          ,12032  ,12395  ,0
kw      ,Kropswolde                     ,12032  ,12395  ,0
kwba    ,Wuppertal-Barmen               ,12032  ,12395  ,0
kwo     ,Wuppertal Oberbarmen           ,12032  ,12395  ,0
kz      ,Koog aan de Zaan               ,12032  ,12395  ,0
laa     ,Den Haag Laan v NOI            ,12032  ,12395  ,0
land    ,Landeck                        ,12032  ,12395  ,0
landq   ,Landquart                      ,12032  ,12395  ,0
landry  ,Landry                         ,12032  ,12395  ,0
lang    ,Langerwehe                     ,12032  ,12395  ,0
lc      ,Lochem                         ,12032  ,12395  ,0
ldl     ,Leiden Lammenschans            ,12032  ,12395  ,0
ldm     ,Leerdam                        ,12032  ,12395  ,0
ldv     ,Leidschendam-Voorburg          ,12032  ,12395  ,0
ledn    ,Leiden Centraal                ,12032  ,12395  ,0
ledt    ,Leiden Transferium             ,12032  ,12395  ,0
leer    ,Leer (Ostfriesl)               ,12032  ,12395  ,0
leuven  ,Leuven                         ,12032  ,12395  ,0
lg      ,Landgraaf                      ,12032  ,12395  ,0
lgl     ,Glons                          ,12032  ,12395  ,0
lhs     ,Herstal                        ,12032  ,12395  ,0
lillee  ,Lille Europe                   ,12032  ,12395  ,0
linz    ,Linz Hbf                       ,12032  ,12395  ,0
livor   ,Livorno C                      ,12032  ,12395  ,0
lkm     ,Hemiksem                       ,12032  ,12395  ,0
lkp     ,Kapellen                       ,12032  ,12395  ,0
lkr     ,Ekeren                         ,12032  ,12395  ,0
llb     ,Belsele                        ,12032  ,12395  ,0
lls     ,Lelystad Centrum               ,12032  ,12395  ,0
llzm    ,Lansingerland-Zoetermeer       ,12032  ,12395  ,0
lm      ,Melsele                        ,12032  ,12395  ,0
lni     ,Niel                           ,12032  ,12395  ,0
lnk     ,Mechelen-Nekkerspoel           ,12032  ,12395  ,0
londs   ,London St.Pancras_oud          ,12032  ,12395  ,0
