sbi08,omschr,sectie,afdeling,sbi08_3,sbi08_4,sector
2052,Vervaardiging van lijm en bereide kleefmiddelen,C,20,205,2052,02
2053,Vervaardiging van etherische oliën,C,20,205,2053,02
2059,Vervaardiging van overige chemische producten (rest),C,20,205,2059,02
2060,Vervaardiging van synthetische en kunstmatige vezels,C,20,206,2060,02
2110,Vervaardiging van farmaceutische grondstoffen,C,21,211,2110,02
2120,Vervaardiging van farmaceutische producten,C,21,212,2120,02
2211,Vervaardiging van rubberbanden en loopvlakvernieuwing,C,22,221,2211,02
2219,Vervaardiging van producten van rubber (geen banden),C,22,221,2219,02
2221,"Vervaardiging v. platen,folie,buizen,profielen v. kunststof",C,22,222,2221,02
2222,Vervaardiging van verpakkingsmiddelen van kunststof,C,22,222,2222,02
2223,Vervaardiging van kunststofproducten voor de bouw,C,22,222,2223,02
2229,Vervaardiging van overige producten van kunststof,C,22,222,2229,02
2311,Vervaardiging van vlakglas,C,23,231,2311,02
2312,Vormen en bewerken van vlakglas,C,23,231,2312,02
2313,Vervaardiging van holglas,C,23,231,2313,02
2314,Vervaardiging van glasvezels,C,23,231,2314,02
2319,"Vervaardiging en bewerking van overig glas,",C,23,231,2319,02
2320,Vervaardiging van vuurvaste keramische producten,C,23,232,2320,02
2331,Vervaardiging van keramische tegels en plavuizen,C,23,233,2331,02
2332,Vervaardiging van keramische producten voor de bouw,C,23,233,2332,02
2341,Vervaardiging van huishoudelijk en sieraardewerk,C,23,234,2341,02
2342,Vervaardiging van sanitair aardewerk,C,23,234,2342,02
2343,Vervaardiging van isolatoren en keramisch isolatiemateriaal,C,23,234,2343,02
2344,Vervaardiging van overig technisch aardewerk,C,23,234,2344,02
2349,Vervaardiging van overige keramische producten (rest),C,23,234,2349,02
2351,Vervaardiging van cement,C,23,235,2351,02
2352,Vervaardiging van kalk en gips,C,23,235,2352,02
23611,Vervaardiging van producten voor de bouw van beton,C,23,236,2361,02
23612,Vervaardiging van kalkzandsteen,C,23,236,2361,02
2362,Vervaardiging van producten voor de bouw van gips,C,23,236,2362,02
2363,Vervaardiging van stortklare beton,C,23,236,2363,02
2364,Vervaardiging van mortel in droge vorm,C,23,236,2364,02
2365,Vervaardiging van producten van vezelcement,C,23,236,2365,02
2369,"Vervaardiging van overige producten van beton, gips, cement",C,23,236,2369,02
2370,Natuursteenbewerking,C,23,237,2370,02
2391,"Vervaardiging van schuur-, slijp- en polijstmiddelen",C,23,239,2391,02
2399,Vervaardiging van ov. niet-metaalhoudende minerale producten,C,23,239,2399,02
2410,Vervaardiging van ijzer en staal en van ferrolegeringen,C,24,241,2410,02
2420,"Vervaardiging van stalen buizen, pijpen, holle profielen",C,24,242,2420,02
2431,Koudtrekken van staven,C,24,243,2431,02
2432,Koudwalsen van bandstaal,C,24,243,2432,02
2433,Koudvervormen en koudfelsen,C,24,243,2433,02
2434,Koudtrekken van draad,C,24,243,2434,02
2441,Vervaardiging van edelmetalen,C,24,244,2441,02
2442,Vervaardiging van aluminium,C,24,244,2442,02
2443,"Vervaardiging van lood, zink en tin",C,24,244,2443,02
2444,Vervaardiging van koper,C,24,244,2444,02
2445,Vervaardiging van overige non-ferrometalen,C,24,244,2445,02
2446,Smelten en raffineren van uranium,C,24,244,2446,02
2451,Gieten van ijzer,C,24,245,2451,02
2452,Gieten van staal,C,24,245,2452,02
2453,Gieten van lichte metalen,C,24,245,2453,02
2454,Gieten van overige non-ferrometalen,C,24,245,2454,02
2511,Vervaardiging van metalen constructiewerken en delen daarvan,C,25,251,2511,02
2512,"Vervaardiging van metalen deuren, vensters en kozijnen",C,25,251,2512,02
2521,"Vervaardiging v. ketels, radiatoren voor centrale verwarming",C,25,252,2521,02
2529,Vervaardiging van metalen tanks en reservoirs,C,25,252,2529,02
2530,Vervaardiging van stoomketels (niet voor c.v.),C,25,253,2530,02
2540,Vervaardiging van wapens en munitie,C,25,254,2540,02
2550,"Smeden, persen, stampen en profielwalsen van metaal",C,25,255,2550,02
2561,Oppervlaktebehandeling en bekleding van metaal,C,25,256,2561,02
2562,Algemene metaalbewerking,C,25,256,2562,02
2571,"Vervaardiging van scharen, messen en bestek",C,25,257,2571,02
2572,Vervaardiging van hang- en sluitwerk,C,25,257,2572,02
2573,Vervaardiging van gereedschap,C,25,257,2573,02
2591,Vervaardiging van stalen vaten e.d.,C,25,259,2591,02
2592,Vervaardiging van verpakkingsmiddelen van licht metaal,C,25,259,2592,02
