SBI08_5,Omschrijving
4221,"4221: Leggen van rioleringen, buizen en pijpleidingen; aanleg van bronbemaling"
4222,4222: Leggen van elektriciteits- en telecommunicatiekabels
4291,4291: Natte waterbouw
4299,4299: Bouw van overige civieltechnische werken (rest)
4311,4311: Slopen van bouwwerken
4312,4312: Grondverzet
4313,4313: Proefboren
4321,4321: Elektrotechnische bouwinstallatie
43221,43221: Loodgieters- en fitterswerk; installatie van sanitair
43222,43222: Installatie van verwarmings- en luchtbehandelingsapparatuur
4329,4329: Overige bouwinstallatie
4331,4331: Stukadoren
4332,4332: Bouwtimmeren
4333,4333: Afwerking van vloeren en wanden
4334,4334: Schilderen en glaszetten
4339,4339: Overige afwerking van gebouwen
4391,4391: Dakdekken en bouwen van dakconstructies
43991,43991: Heien en andere funderingswerkzaamheden
43992,43992: Vlechten van betonstaal
43993,43993: Metselen en voegen
43999,43999: Overige gespecialiseerde werkzaamheden in de bouw (rest)
45111,45111: Import van nieuwe personenautos en lichte bedrijfsauto's
45112,45112: Handel in en reparatie van personenautos en lichte bedrijfsautoÆs (geen import van nieuwe)
45191,45191: Import van nieuwe bedrijfsauto's
45192,45192: Handel in en reparatie van zwaardere bedrijfsauto's (geen import van nieuwe)
45193,45193: Handel in en reparatie van aanhangwagens en opleggers (geen caravans)
45194,45194: Handel in en reparatie van caravans
45201,45201: Auto-onderdelenservicebedrijven
45202,45202: Bandenservicebedrijven
45203,45203: Reparatie van specifieke auto-onderdelen
45204,45204: Carrosserieherstel
45205,45205: Overige gespecialiseerde reparatie; wassen en slepen van auto's
45311,45311: Groothandel en handelsbemiddeling in auto-onderdelen en -accessoires (geen banden)
45312,45312: Groothandel en handelsbemiddeling in banden
4532,4532: Detailhandel in auto-onderdelen en -accessoires
45401,45401: Groothandel en handelsbemiddeling in motorfietsen en onderdelen daarvan
45402,45402: Detailhandel in en reparatie van motorfietsen en onderdelen daarvan
4611,"4611: Handelsbemiddeling in landbouwproducten, levende dieren en grondstoffen voor textiel en voedingsmiddelen"
4612,"4612: Handelsbemiddeling in brandstoffen, ertsen, metalen en chemische producten"
4613,"4613: Handelsbemiddeling in hout, vlakglas, sanitair en bouwmaterialen"
4614,"4614: Handelsbemiddeling in machines, technische benodigdheden, schepen en vliegtuigen"
4615,"4615: Handelsbemiddeling in meubels, huishoudelijke artikelen en ijzerwaren"
4616,"4616: Handelsbemiddeling in textiel, kleding, schoeisel en lederwaren"
4617,4617: Handelsbemiddeling in voedings- en genotmiddelen
4618,4618: Handelsbemiddeling gespecialiseerd in overige goederen
4619,4619: Niet-gespecialiseerde handelsbemiddeling
46211,46211: Groothandel in granen
46212,"46212: Groothandel in zaden, pootgoed en peulvruchten"
46213,"46213: Groothandel in hooi, stro en ruwvoeder"
46214,46214: Groothandel in meng- en krachtvoeder
46215,"46215: Groothandel in veevoeder (geen ruw-, meng- en krachtvoeder)"
46216,46216: Groothandel in ruwe plantaardige en dierlijke oliën en vetten en oliehoudende grondstoffen
46217,46217: Groothandel in ruwe tabak
46218,46218: Groothandel in akkerbouwproducten en veevoeder algemeen assortiment
46219,46219: Groothandel in overige akkerbouwproducten
4622,4622: Groothandel in bloemen en planten
46231,46231: Groothandel in levend vee
46232,"46232: Groothandel in huisdieren, siervissen, siervogels en wilde dieren"
46241,46241: Groothandel in huiden en vellen
46242,46242: Groothandel in leer en halffabrikaten van leer
46311,46311: Groothandel in groenten en fruit
46312,46312: Groothandel in consumptie-aardappelen
4632,4632: Groothandel in vlees en vleeswaren en in wild en gevogelte (niet levend)
46331,46331: Groothandel in zuivelproducten en spijsoliën en -vetten
46332,46332: Groothandel in eieren
4634,4634: Groothandel in dranken (geen zuivel)
4635,4635: Groothandel in tabaksproducten en rokersbenodigdheden
4636,"4636: Groothandel in suiker, chocolade en suikerwerk"
4637,"4637: Groothandel in koffie, thee, cacao en specerijen (geen ruwe)"
46381,46381: Groothandel in snacks
46382,"46382: Groothandel in vis, schaal- en weekdieren"
46383,46383: Gespecialiseerde groothandel in overige voedings- en genotmiddelen (rest)
46384,46384: Groothandel in bakkerijgrondstoffen
46389,46389: Gespecialiseerde groothandel in overige grondstoffen en halffabrikaten voor de voedingsmiddelen- industrie (rest)
4639,4639: Groothandel in voedings- en genotmiddelen algemeen assortiment
46411,46411: Groothandel in kledingstoffen en fournituren
46412,46412: Groothandel in huishoudtextiel en beddengoed
46421,46421: Groothandel in bovenkleding
46422,46422: Groothandel in werkkleding
46423,46423: Groothandel in onderkleding
46424,46424: Groothandel in schoenen
46425,46425: Groothandel in mode-artikelen
46429,46429: Groothandel in textielwaren algemeen assortiment
46431,46431: Groothandel in witgoed
46432,"46432: Groothandel in elektrische huishoudelijke apparatuur (geen witgoed, audio en video)"
46433,46433: Groothandel in audio- en video-apparatuur
46434,46434: Groothandel in fotografische artikelen
46435,46435: Groothandel in beeld- en geluidsdragers
46436,46436: Groothandel in optische artikelen
46441,"46441: Groothandel in glas, porselein en aardewerk"
46442,"46442: Groothandel in was-, poets- en reinigingsmiddelen"
4645,4645: Groothandel in parfums en cosmetica
46461,46461: Groothandel in farmaceutische producten
46462,"46462: Groothandel in medische en tandheelkundige instrumenten, verpleeg- en orthopedische artikelen en laboratoriumbeno"
46471,46471: Groothandel in huismeubilair
46472,46472: Groothandel in woningtextiel en vloerbedekking
46473,46473: Groothandel in verlichtingsartikelen
4648,4648: Groothandel in juweliersartikelen en uurwerken
46491,46491: Groothandel in fietsen en bromfietsen
46492,46492: Groothandel in watersportartikelen
46493,46493: Groothandel in kampeerartikelen (geen caravans)
46494,46494: Groothandel in speelgoed
46495,46495: Groothandel in muziekinstrumenten
46496,46496: Groothandel in sportartikelen (geen watersport)
46497,46497: Groothandel in papier- en kartonwaren (geen verpakkingsmateriaal)
46498,"46498: Groothandel in boeken, tijdschriften en overig drukwerk"
46499,"46499: Groothandel in overige consumentenartikelen (rest, non-food)"
4651,"4651: Groothandel in computers, randapparatuur en software"
